SUBJECT_PREFIX	SUBJECT_SEMTYPE	PREDICATE	OBJECT_PREFIX	OBJECT_SEMTYPE	DOC_N	DOC_N_VALID
umls	dsyn	PROCESS_OF	umls	humn	2530738	2321777
umls	fndg	PROCESS_OF	umls	humn	1324267	1160368
umls	bpoc	PART_OF	umls	mamm	1204184	1153238
umls	bpoc	LOCATION_OF	umls	neop	1139224	1045335
umls	bdsu	LOCATION_OF	umls	aapp	923819	846909
umls	bpoc	LOCATION_OF	umls	patf	895767	816152
umls	topp	TREATS	umls	dsyn	1016052	779870
umls	topp	TREATS	umls	neop	844184	735624
umls	dsyn	PROCESS_OF	umls	mamm	759499	683358
umls	bpoc	LOCATION_OF	umls	fndg	812383	678731
umls	bpoc	LOCATION_OF	umls	dsyn	798443	664574
umls	cell	PART_OF	umls	bpoc	668508	640356
umls	bpoc	LOCATION_OF	umls	aapp	912167	623202
umls	menp	PROCESS_OF	umls	humn	612088	563518
umls	mobd	PROCESS_OF	umls	humn	589019	550528
umls	neop	PROCESS_OF	umls	humn	590497	545161
umls	phsu	TREATS	umls	dsyn	781003	544240
umls	bpoc	PART_OF	umls	bpoc	599935	512889
umls	cell	LOCATION_OF	umls	aapp	782041	510233
umls	topp	USES	umls	phsu	592689	506621
umls	bpoc	LOCATION_OF	umls	diap	507205	454722
umls	bpoc	LOCATION_OF	umls	inpo	474211	436833
umls	tisu	PART_OF	umls	bpoc	460555	433759
umls	aapp	ISA	umls	aapp	411408	391832
umls	orgf	PROCESS_OF	umls	humn	392139	372317
umls	bdsu	LOCATION_OF	umls	bacs	385325	370633
umls	sosy	PROCESS_OF	umls	humn	388476	355023
umls	cell	PART_OF	umls	mamm	362406	351160
umls	cell	LOCATION_OF	umls	celf	375851	345588
umls	bacs	PART_OF	umls	aapp	459837	328152
umls	phsu	TREATS	umls	mamm	401678	324955
umls	topp	USES	umls	medd	359595	306962
umls	patf	PROCESS_OF	umls	humn	334593	302457
umls	dsyn	ISA	umls	dsyn	315675	294519
umls	spco	LOCATION_OF	umls	cell	306297	279998
umls	hcro	LOCATION_OF	umls	resa	295507	279721
umls	aapp	ASSOCIATED_WITH	umls	dsyn	481834	263936
umls	topp	USES	umls	aapp	326049	259761
umls	dsyn	COEXISTS_WITH	umls	dsyn	463750	254409
umls	lbpr	USES	umls	lbpr	282970	254138
umls	tisu	LOCATION_OF	umls	aapp	362087	251609
umls	lbpr	USES	umls	aapp	301846	245215
umls	aapp	INTERACTS_WITH	umls	aapp	503004	242490
umls	aapp	STIMULATES	umls	gngm	442938	227841
umls	neop	ISA	umls	neop	237730	227337
umls	genf	PROCESS_OF	umls	gngm	289510	220311
umls	bdsu	LOCATION_OF	umls	orch	273468	217521
umls	bpoc	LOCATION_OF	umls	medd	267174	214464
umls	topp	PRECEDES	umls	topp	304352	212705
umls	aapp	PART_OF	umls	celc	257330	211757
umls	celc	LOCATION_OF	umls	aapp	318997	210207
umls	inbe	PROCESS_OF	umls	humn	235099	209671
umls	orgf	PROCESS_OF	umls	mamm	222801	208286
umls	inpo	PROCESS_OF	umls	humn	230148	206724
umls	diap	DIAGNOSES	umls	dsyn	291235	202145
umls	bdsu	LOCATION_OF	ncbigene	aapp	228677	200533
umls	blor	LOCATION_OF	umls	neop	223489	200071
umls	mamm	LOCATION_OF	umls	aapp	268067	194747
umls	neop	PROCESS_OF	umls	mamm	205098	188279
umls	bpoc	PART_OF	umls	humn	208447	184469
umls	patf	PROCESS_OF	umls	mamm	200083	184244
umls	aapp	ASSOCIATED_WITH	umls	neop	328043	184207
umls	aapp	PART_OF	umls	bpoc	242226	182802
umls	aapp	PART_OF	umls	mamm	217982	182193
umls	topp	TREATS	umls	aggp	196957	180155
umls	orch	ISA	umls	phsu	188773	178873
umls	bpoc	LOCATION_OF	umls	orch	283466	178157
umls	gngm	LOCATION_OF	umls	genf	250718	177265
umls	phsu	TREATS	umls	neop	224910	173329
umls	blor	LOCATION_OF	umls	dsyn	205933	173245
umls	topp	TREATS	umls	mamm	198191	171558
umls	bpoc	LOCATION_OF	umls	anab	191733	171552
umls	topp	ISA	umls	topp	175918	168285
umls	bpoc	LOCATION_OF	ncbigene	aapp	304859	167460
umls	invt	ISA	umls	invt	183368	163842
umls	cell	LOCATION_OF	ncbigene	aapp	293519	163553
umls	dsyn	CAUSES	umls	dsyn	279758	161277
umls	celc	PART_OF	umls	cell	173661	157186
umls	cell	PRODUCES	umls	aapp	231398	156540
umls	bpoc	LOCATION_OF	umls	bacs	192362	153727
umls	tisu	PART_OF	umls	mamm	160340	152624
umls	aapp	AFFECTS	umls	celf	227320	147061
umls	bpoc	LOCATION_OF	umls	sosy	176616	146817
umls	topp	compared_with	umls	topp	195697	146578
umls	bacs	PART_OF	umls	celc	154470	146410
umls	blor	LOCATION_OF	umls	bpoc	169197	138804
umls	resa	USES	umls	topp	160534	138005
umls	blor	LOCATION_OF	umls	diap	149749	137786
umls	topp	TREATS	umls	fndg	238323	137372
umls	patf	COEXISTS_WITH	umls	dsyn	199692	135310
umls	fndg	COEXISTS_WITH	umls	dsyn	259947	133537
umls	tisu	LOCATION_OF	umls	topp	152106	133426
umls	gngm	ASSOCIATED_WITH	umls	neop	263584	129648
umls	ortf	PROCESS_OF	umls	mamm	141632	128013
umls	tisu	PART_OF	umls	neop	134511	127496
umls	celc	PART_OF	umls	bpoc	142741	126044
umls	hlca	TREATS	umls	dsyn	172686	125243
umls	humn	LOCATION_OF	umls	aapp	199317	124490
umls	topp	TREATS	umls	patf	169902	123259
umls	moft	PROCESS_OF	umls	cell	162256	122892
umls	topp	TREATS	umls	popg	148874	122853
umls	bacs	PART_OF	ncbigene	aapp	187546	122789
umls	bpoc	LOCATION_OF	umls	acab	139297	122204
umls	blor	LOCATION_OF	umls	fndg	152324	121799
umls	lbpr	METHOD_OF	umls	lbpr	157463	121413
umls	diap	DIAGNOSES	umls	neop	159162	121388
umls	plnt	LOCATION_OF	umls	aapp	190437	120750
umls	aapp	INHIBITS	umls	aapp	270782	118669
ncbigene	aapp	ISA	umls	aapp	124900	117911
umls	plnt	LOCATION_OF	umls	orch	175744	116652
umls	orch	ISA	umls	orch	129867	115769
umls	aapp	PART_OF	umls	cell	162820	112026
umls	gngm	INTERACTS_WITH	umls	cell	220058	110492
umls	topp	METHOD_OF	umls	topp	175783	109608
umls	orgt	LOCATION_OF	umls	resa	113942	108487
umls	bpoc	LOCATION_OF	umls	cgab	123901	105374
umls	diap	ISA	umls	diap	106806	104689
umls	aapp	STIMULATES	umls	cell	171658	104315
umls	celf	PROCESS_OF	umls	neop	117045	101258
umls	hlca	USES	umls	diap	110395	100593
umls	lbpr	METHOD_OF	umls	topp	118066	100301
umls	medd	USES	umls	phsu	123887	100047
umls	tisu	LOCATION_OF	umls	lbpr	114422	98530
umls	lbpr	MEASURES	umls	aapp	136481	97707
umls	cell	LOCATION_OF	umls	neop	112187	96690
umls	phsu	TREATS	umls	aggp	111792	95954
umls	phsu	TREATS	umls	fndg	199721	95818
umls	neop	COEXISTS_WITH	umls	neop	138623	95550
umls	orch	INHIBITS	umls	gngm	232326	95022
umls	menp	PROCESS_OF	umls	mamm	103872	94890
umls	hlca	TREATS	umls	humn	117037	93744
umls	cell	PART_OF	umls	humn	99672	93020
umls	blor	LOCATION_OF	umls	inpo	101609	92370
