SUBJECT_PREFIX	SUBJECT_SEMTYPE	PREDICATE	OBJECT_PREFIX	OBJECT_SEMTYPE	DOC_N	DOC_N_VALID
umls	dsyn	PROCESS_OF	umls	humn	2344345	2147949
umls	bpoc	PART_OF	umls	mamm	1183119	1133560
umls	fndg	PROCESS_OF	umls	humn	1159426	1011905
umls	bpoc	LOCATION_OF	umls	neop	1088609	998529
umls	bdsu	LOCATION_OF	umls	aapp	876862	804853
umls	bpoc	LOCATION_OF	umls	patf	846743	770736
umls	topp	TREATS	umls	dsyn	934027	714885
umls	topp	TREATS	umls	neop	778276	678610
umls	dsyn	PROCESS_OF	umls	mamm	715266	642000
umls	bpoc	LOCATION_OF	umls	dsyn	747981	620129
umls	bpoc	LOCATION_OF	umls	fndg	739589	618156
umls	cell	PART_OF	umls	bpoc	635370	608193
umls	bpoc	LOCATION_OF	umls	aapp	878129	601951
umls	phsu	TREATS	umls	dsyn	723059	502492
umls	menp	PROCESS_OF	umls	humn	546734	501562
umls	neop	PROCESS_OF	umls	humn	541828	499505
umls	mobd	PROCESS_OF	umls	humn	530012	494050
umls	bpoc	PART_OF	umls	bpoc	571468	487818
umls	cell	LOCATION_OF	umls	aapp	742171	487644
umls	topp	USES	umls	phsu	551410	471253
umls	bpoc	LOCATION_OF	umls	diap	474714	424900
umls	bpoc	LOCATION_OF	umls	inpo	454744	419157
umls	tisu	PART_OF	umls	bpoc	442334	416326
umls	aapp	ISA	umls	aapp	411408	391838
umls	bdsu	LOCATION_OF	umls	bacs	367025	352951
umls	cell	PART_OF	umls	mamm	354503	343590
umls	orgf	PROCESS_OF	umls	humn	355662	337010
umls	sosy	PROCESS_OF	umls	humn	357691	325986
umls	cell	LOCATION_OF	umls	celf	353482	325231
umls	phsu	TREATS	umls	mamm	387619	313606
umls	bacs	PART_OF	umls	aapp	424737	300827
umls	dsyn	ISA	umls	dsyn	315675	294519
umls	topp	USES	umls	medd	330719	281411
umls	patf	PROCESS_OF	umls	humn	304473	274547
umls	spco	LOCATION_OF	umls	cell	294821	269660
umls	hcro	LOCATION_OF	umls	resa	262264	247801
umls	aapp	ASSOCIATED_WITH	umls	dsyn	452847	247161
